,CHUNK_MASK,CHUNK_SHIFT,CHUNK_SIZE,DEBUG,LIST_FLAG,LIST_MASK,attributeDecl,elementDecl,fAttributeDecl,fAttributeDeclCount,fAttributeDeclDatatypeValidator,fAttributeDeclDefaultType,fAttributeDeclDefaultValue,fAttributeDeclEnumeration,fAttributeDeclIsExternal,fAttributeDeclName,fAttributeDeclNextAttributeDeclIndex,fAttributeDeclNonNormalizedDefaultValue,fAttributeDeclType,fContentSpec,fContentSpecCount,fContentSpecOtherValue,fContentSpecType,fContentSpecValue,fCurrentAttributeIndex,fCurrentElementIndex,fDTDContentModelSource,fDTDSource,fDepth,fElementDecl,fElementDeclContentModelValidator,fElementDeclContentSpecIndex,fElementDeclCount,fElementDeclFirstAttributeDeclIndex,fElementDeclIsExternal,fElementDeclLastAttributeDeclIndex,fElementDeclName,fElementDeclTab,fElementDeclType,fEntityBaseSystemId,fEntityCount,fEntityInExternal,fEntityIsPE,fEntityName,fEntityNotation,fEntityPublicId,fEntitySystemId,fEntityValue,fGrammarDescription,fIsImmutable,fLeafCount,fMixed,fNodeIndexStack,fNotationBaseSystemId,fNotationCount,fNotationName,fNotationPublicId,fNotationSystemId,fOpStack,fPEDepth,fPEntityStack,fPrevNodeIndexStack,fQName,fQName2,fReadingExternalDTD,fSimpleType,fSymbolTable,method_name,nodeIndex,notationDecl,occurrence,pcdata,separator
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,initializeContentModelStack,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isImmutable,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,appendContentSpec,0,0,0,0,0
79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,printAttribute,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,createChildModel,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,buildSyntaxTree,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contentSpecTree,0,0,0,0,0
83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ensureElementDeclCapacity,0,0,0,0,0
84,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ensureAttributeDeclCapacity,0,0,0,0,0
85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ensureEntityDeclCapacity,0,0,0,0,0
86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,ensureNotationDeclCapacity,0,0,0,0,0
87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ensureContentSpecCapacity,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,resize,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isEntityDeclared,0,0,0,0,0
90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isEntityUnparsed,0,0,0,0,0
